ID, raw_count
1-10,1163
1-11,7270
1-12,8262
1-13,7835
1-14,13863
1-15,43719
1-16,14559
1-17,2809
1-18,3123
1-19,33100
1-1,44857
1-20,12
1-21,44
1-22,40
1-23,20181
1-24,24435
1-2,8480
1-3,43444
1-4,27738
1-5,6073
1-6,13373
1-7,36321
1-8,60076
1-9,27182
2-10,538
2-11,54558
2-12,19400
2-13,47602
2-14,26746
2-15,34455
2-16,5905
2-17,55572
2-18,40041
2-19,80401
2-1,36769
2-20,38348
2-21,75818
2-22,3027
2-23,70292
2-24,67717
2-2,36222
2-3,72220
2-4,2691
2-5,61816
2-6,58741
2-7,96
2-8,32619
2-9,48734
3-10,5607
3-11,57083
3-12,58003
3-13,60023
3-14,42470
3-15,75547
3-16,16613
3-17,50106
3-18,36655
3-19,32982
3-1,40575
3-20,20046
3-21,8005
3-22,64
3-2,49593
3-3,27899
3-4,3720
3-5,33860
3-6,23617
3-7,54840
3-8,63318
3-9,32373
A4-3,103462
C8-2,40190
D7-4,63615
F4-3,32283
LW-1,172967
M6-5,56299
NC2-1,111703
NC2SC,30088
SC,63271
